"Distrito","Ingresos_Total","Gastos_Total","Personal_Limpieza","Residuos_Solidos","Personal_Vigilancia"
"CAJACAY",2994468.29,1883480.07,1,500,0
"CANIS",1217038.02,837886.52,0,500,0
"COLQUIOC",8132914.31,6945457.82,0,3000,0
"HUALLANCA",9785469.08,7639721.21,0,2900,0
"HUASTA",4996152.6,4359793.36,0,143,0
"HUAYLLACAYAN",2877425.09,2241702.39,1,100,0
"LA PRIMAVERA",5485286.1,2558422.17,0,60,0
"MANGAS",5042999.86,4343753.53,0,192,0
"PACLLON",3702108.76,1551432.8,0,400,0
"SAN MIGUEL DE CORPANQUI",4605453.33,3882260.66,0,125,0
"TICLLOS",2636273.88,2286415.51,0,71,0
"CARHUAZ",40505472.37,28174323.88,40,7806,9
"ACOPAMPA",6426804.22,5861398.96,1,1500,0
"AMASHCA",3000768.79,1857686.56,0,300,0
"ANTA",3152206.28,2883263,0,2000,0
"ATAQUERO",2414014.54,2169644.25,0,930,0
"MARCARA",13395959.68,7942025.98,0,3600,0
"PARIAHUANCA",1882143.9,1617960.32,0,2600,0
"SAN MIGUEL DE ACO",4549038.14,3899579.11,1,1000,0
"SHILLA",2464306.16,1542734.67,0,590,0
"TINCO",4069954.22,2231905.23,1,200,0
"YUNGAR",3842767.73,2633946.97,1,7500,0
"SAN LUIS",25267982.67,20907588.95,0,2000,0
"SAN NICOLAS",7038545.89,4842362.28,0,250,0
"YAUYA",10533245.19,6344173.25,0,100,0
"CASMA",56530655.82,45672014.37,49,35000,0
"BUENA VISTA ALTA",11777457.35,9249781.98,1,2000,2
"COMANDANTE NOEL",9614757.56,8424356.95,3,1157,1
"YAUTAN",25086357.27,20407395.89,1,3500,0
"CORONGO",10289915.09,6807471.06,3,3000,0
"ACO",1229573.09,1290066.53,0,20,0
"BAMBAS",1618339.26,871661.07,1,244,0
"CUSCA",6423317.01,3170125.01,0,10,0
"LA PAMPA",4157632.68,3543377.03,4,1800,0
"YANAC",3229941.3,3074335.14,2,500,0
"YUPAN",1423594.82,1247443.55,1,80,0
"HUARI",106680520.39,63114754.52,0,9181,0
"ANRA",15133933.28,9549322.24,4,400,4
"CAJAY",41623877.58,23098734.49,0,125,0
"CHAVIN DE HUANTAR",104603249.36,49748892.09,0,3200,0
"HUACACHI",37212221.14,18495322.32,0,5500,0
"HUACCHIS",9949033.21,8070064.98,0,2000,0
"HUACHIS",35802387.29,17265305.12,0,800,0
"HUANTAR",20069715.95,16586149.58,0,300,0
"MASIN",13596881.88,7826726.56,0,100,0
"PAUCAS",10458707.81,5996085.39,0,1300,0
"PONTO",57501349.78,13175325.18,0,540,0
"RAHUAPAMPA",7428545.75,2921013.56,0,500,0
"RAPAYAN",13102298.69,9185534.03,0,500,0
"SAN MARCOS",861832296.65,285987261.18,11,1604,0
"SAN PEDRO DE CHANA",33032600.85,17666535.31,0,120,0
"UCO",14632633.69,4794157.76,2,350,0
"HUARMEY",55724834.26,41549783.6,25,25479,0
"COCHAPETI",7220700.74,4971785.92,0,200,0
"CULEBRAS",4606185.44,3852433.93,3,1391,1
"HUAYAN",1656838.14,1073819.9,0,160,0
"MALVAS",1818264.78,1415144.03,0,13798.4666666667,0
"CARAZ",54875247.19,28388161.7,51,27143,11
"HUALLANCA",4941935.84,6911034.45,0,42,0
"HUATA",2301952.52,2265957.91,0,200,0
"HUAYLAS",2176757.17,1299441.63,0,400,1
"MATO",5232167.03,4877541.44,0,100,0
"PAMPAROMAS",19209309.2,14476990.89,0,1000,0
"PUEBLO LIBRE",14024623.73,8991631.9,0,500,1
"SANTA CRUZ",11959434.84,10203251.81,2,1000,0
"SANTO TORIBIO",4724655.95,3677713.36,1,4150,0
"YURACMARCA",19105626.99,5798060.75,1,1250,0
"PISCOBAMBA",19469028.74,17127556.72,0,899,0
"CASCA",13719792.89,8386516.57,0,500,0
"ELEAZAR GUZMAN BARRON",3589010.19,2045442.08,0,150,0
"FIDEL OLIVAS ESCUDERO",9357422.61,7007483.96,0,210,0
"LLAMA",3314921.06,2336033.25,0,700,0
"LLUMPA",12656148.36,8309335.86,3,800,4
"LUCMA",5278884.11,4249579.57,0,600,0
"MUSGA",3535402.07,1866943.55,0,105,0
"OCROS",13900326.88,11639185.04,0,700,0
"ACAS",2613480.36,2131509.84,0,50,0
